CodeName,ThemeNumber,ThemeName,FirstTenNotes,StartTime,Bookmark
"CoplandFanfare",1,"Fanfare for the Common Man","D G D G D C E C G D ",0,"C"
"CorelliConcerto",1,"Preludio","E G C C G A G F F E",0,"C"
"CorelliConcerto",2,"Allemande","G C E G G C C C G",135,"C"
"CorelliConcerto",3,"Sarabande","B E F#EbE C B C C C B",250,"C"
"CorelliConcerto",4,"Gavotte","C F C F C G C A F G A",378,"C"
"CorelliConcerto",5,"Gigue","C A F C F E F C D D C",425,"C"
"CorelliGigue",1,"Gigue, from 9th Sonata","G E G D G C G A C F ",0,"C"
"CorelliGigueClarinet",1,"Gigue, from 9th Sonata for violin, cello and piano.","G E G D G C G A C F ",0,"C"
"CorelliGrossoOp6No8M5",1,"Main theme","B C D B E D E D C D C D B",0,"C"
"CoventryCarol",1,"Main theme","G G F#G BbA A G G F#",0,"C"
"Daisy",1,"Verse 'There is a flower"","D C#D B A G A F# D A D",0,"F"
"Daisy",2,"Chorus "Daisy, Daisy"","D B G D E F#G E G D",49,"F"
"DalayracPazza",1,"Main theme","E D E F D C G F E D E",0,"C"
"DandrieuFifres",1,"Main theme","D A D A D E D C#B A",0,"C"
"DannyBoy",1,"Londonderry Air (Oh Danny Boy)","B C D E D E A G E D ",0,"F"
"DashingWhiteSergeant",1,"DashingWhiteSergeant","E D C C C D E F G F#G",0,"F"
"DebussyApresMidiDUneFaune",1,"Main theme","C#B BbA AbG A B C C#",0,"W"
"DebussyArabesqueNo1",1,"First theme","A C F A C D E B G E",0,"C"
"DebussyArabesqueNo1",2,"Second theme","C D A C G A E G D E C",11,"C"
"DebussyArabesqueNo1",3,"Third theme","G F G E D D E C A B",78,"C"
"DebussyClairDeLune",1,"Main theme","G G E D E D C D C E C",0,"L"
"DebussyGirlFlaxen",1,"Girl with the Flaxen Hair (Preludes Book 1 No 8)","G E C A C E G E C A ",0,"W"
"DebussyReverie",1,"First theme","G D E F G E D E C E D",0,"C"
